version,id,specialty,naics_modifier,eo_minimum_premium
v2.0.101,99,Underground Utility Locating,6.500000000000000,500.00
v2.0.101,100,Advertising/Creative Agency,0.740999996662140,850.00
v2.0.101,101,Direct Marketing,1.481999993324280,750.00
v2.0.101,102,Market Research,0.740999996662140,750.00
v2.0.101,103,Marketing Services,0.740999996662140,750.00
v2.0.101,104,Other Creative Services,0.740999996662140,750.00
v2.0.101,105,Promotional Services,1.481999993324280,750.00
v2.0.101,106,Graphic Design Services,0.740999996662140,750.00
v2.0.101,107,Media Buying Agencies,0.740999996662140,750.00
v2.0.101,108,Photographer Services,0.528999984264374,750.00
v2.0.101,109,Post Production,1.481999993324280,500.00
v2.0.101,110,Public Relations Services,0.740999996662140,750.00
v2.0.101,111,Agency Construction Management,1.500000000000000,500.00
v2.0.101,112,Architectural Services,3.490000009536743,2500.00
v2.0.101,113,Land Use and Master Planning,1.481999993324280,2500.00
v2.0.101,114,Drafting / CAD / BIM,1.750000000000000,850.00
v2.0.101,115,Landscape Architects,1.600000023841858,850.00
v2.0.101,116,Building Code Inspector,2.049999952316284,850.00
v2.0.101,117,Mechanical / Electrical / Plumbing Inspector,2.049999952316284,850.00
v2.0.101,118,Building Commissioning,2.369999885559082,850.00
v2.0.101,119,Elevator Inspector,2.579999923706055,850.00
v2.0.101,120,Crane Inspector,2.579999923706055,850.00
v2.0.101,121,Welding Inspector,2.579999923706055,850.00
v2.0.101,122,Roofing Inspector,3.490000009536743,850.00
v2.0.101,123,Home Inspector,3.200000047683716,850.00
v2.0.101,124,Forensic Analysis and Expert Witness,1.750000000000000,850.00
v2.0.101,125,Aerospace Engineers,9.307999610900879,500.00
v2.0.101,126,Chemical Engineers,7.151351451873779,500.00
v2.0.101,127,Civil Engineers,3.490000009536743,500.00
v2.0.101,128,Control Systems Integration and Automation,6.300000190734863,500.00
v2.0.101,129,Electrical Engineers,1.500000000000000,500.00
v2.0.101,130,Environmental Engineers and Consultants,3.410000085830689,500.00
v2.0.101,131,Building Materials Testing and Engineering,3.410000085830689,500.00
v2.0.101,132,Geotechnical Engineer,9.000000000000000,15000.00
v2.0.101,133,Heating and Cooling Systems Engineer,3.410000085830689,500.00
v2.0.101,134,Industrial Engineers,7.151351451873779,500.00
v2.0.101,135,Marine Engineers and Naval Architects,9.307999610900879,500.00
v2.0.101,136,Mechanical Engineers,3.490000009536743,500.00
v2.0.101,137,Mining Engineer,9.307999610900879,500.00
v2.0.101,138,Nuclear Engineers,9.307999610900879,500.00
v2.0.101,139,Petroleum Engineers,9.307999610900879,500.00
v2.0.101,140,Seismic Engineer,9.307999610900879,15000.00
v2.0.101,141,Structural Engineer,8.000000000000000,7500.00
v2.0.101,142,Consulting Engineers,2.329999923706055,500.00
v2.0.101,143,Interior Design Services,0.800000011920929,850.00
v2.0.101,144,Geophysical Surveying and Mapping Services,1.750000000000000,500.00
v2.0.101,145,Surveying and Mapping (except Geophysical) Services - Land Surveyor,6.500000000000000,850.00
v2.0.101,146,Accountants,1.682000041007996,850.00
v2.0.101,147,Other Accounting Services,1.481999993324280,850.00
v2.0.101,148,Tax Preparation Services,1.273000001907349,850.00
v2.0.101,149,Actuarial services,3.174999952316284,850.00
v2.0.101,150,Debt / Credit Management,2.545000076293945,850.00
v2.0.101,151,Other Financial Activites,2.545000076293945,850.00
v2.0.101,152,Structured Settlement Services,3.174999952316284,850.00
v2.0.101,153,Claims Adjuster,1.416000008583069,850.00
v2.0.101,154,Insurance Related Activities,1.481999993324280,850.00
v2.0.101,155,Public Claims Adjuster,1.981999993324280,850.00
v2.0.101,156,Interim Management Services,2.545000076293945,850.00
v2.0.101,157,Life Settlement Services,3.174999952316284,850.00
v2.0.101,158,Trustees,2.746000051498413,3500.00
v2.0.101,159,Assisted Living Facility,0.762000024318695,1500.00
v2.0.101,160,Independent Living Facility,0.272000014781952,1500.00
v2.0.101,161,Memory Care Facility,1.143000006675720,1500.00
v2.0.101,162,Group Home - Adults,0.828999996185303,10000.00
v2.0.101,163,Group Home - Minors,1.174999952316284,15000.00
v2.0.101,164,Hospice (inpatient),0.435000002384186,1500.00
v2.0.101,165,Mental Health - Non-Substance Abuse,2.903000116348267,20000.00
v2.0.101,166,Prescribed Pediatric Extended Care (PPEC),0.802999973297119,5000.00
v2.0.101,167,Inpatient Substance Abuse: Detox Management,2.635999917984009,2500.00
v2.0.101,168,Inpatient Substance Abuse: Halfway House,1.812000036239624,2500.00
v2.0.101,169,Inpatient Substance Abuse: Medication Management,2.471999883651733,2500.00
v2.0.101,170,Administrative and Support Services,1.057999968528748,850.00
v2.0.101,171,Association Management,1.481999993324280,850.00
v2.0.101,172,Background Checks / Screening Services,1.481999993324280,850.00
v2.0.101,173,Grant Administration and Monitoring Services,1.057999968528748,850.00
v2.0.101,174,Permit Processing and Expediting Services,1.481999993324280,850.00
v2.0.101,175,Writing Services for Hire (No Authors),1.057999968528748,850.00
v2.0.101,176,Agents and Managers for Public Figures,2.545000076293945,850.00
v2.0.101,177,Analytical Testing Lab Services: Food,3.174999952316284,850.00
v2.0.101,178,Analytical Testing Lab Services: Medical/Forensic,1.481999993324280,850.00
v2.0.101,179,Analytical Testing Lab Services: Non-Destructive Materials,2.545000076293945,850.00
v2.0.101,180,Analytical Testing Lab Services: Other,2.545000076293945,850.00
v2.0.101,181,Analytical Testing Lab Services: Soil,3.174999952316284,850.00
v2.0.101,182,Associations,0.740999996662140,850.00
v2.0.101,183,Collection Agent Services: Owned/factored debt,4.032999992370606,850.00
v2.0.101,184,Collection Agent Services: Third party debt,3.233000040054321,850.00
