version,id,percent_of_occ_limit,type,factor
v2.0.101,239,25.00,Pollution liability,6.62
v2.0.101,240,25.00,Technology Coverage Extensio,7.09
v2.0.101,241,25.00,Bodily Inury (Emotional Distress),6.62
v2.0.101,242,25.00,Network security & privacy,4.14
v2.0.101,243,25.00,Defamation Exclusion and Sublimit,-2.60
v2.0.101,244,25.00,InvasionPrivacyExclusionSublimit,-2.60
v2.0.101,245,25.00,Media activities,7.68
v2.0.101,246,30.00,Bodily Injury,14.11
v2.0.101,247,30.00,Property Damage,5.64
v2.0.101,248,30.00,Breach of Contract,5.64
v2.0.101,249,30.00,Personal & Advertising Injury,11.29
v2.0.101,250,30.00,Intellectual Property Infringement,5.64
v2.0.101,251,30.00,Third Party Discriminatio,5.64
v2.0.101,252,30.00,Contractors Pollution (Claims Made),7.47
v2.0.101,253,30.00,Contractors Pollution (Occ),8.97
v2.0.101,254,30.00,Sexual Abuse & Misconduct,14.58
v2.0.101,255,30.00,Billing Errors Coverage,6.65
v2.0.101,256,30.00,Class Action Sublimit,-14.13
v2.0.101,257,30.00,Crisis Management,4.36
v2.0.101,258,30.00,Defense Only TCPA,11.96
v2.0.101,259,30.00,Defense Outside Limits,11.29
v2.0.101,260,30.00,Evacuation Expenses,4.36
v2.0.101,261,30.00,Faulty Workmanship,30.75
v2.0.101,262,30.00,Games of Chance / Over-Redemptio,6.65
v2.0.101,263,30.00,HIPAA Violations,2.66
v2.0.101,264,30.00,Open House Claim Sublimit,7.47
v2.0.101,265,30.00,Rectification Expenses,4.36
v2.0.101,266,30.00,Protective Indemnity,1.33
v2.0.101,267,30.00,Mold,4.36
v2.0.101,268,30.00,Pollutants in Transit,1.33
v2.0.101,269,30.00,Non-Owned Disposal Site,1.33
v2.0.101,270,30.00,Bodily injury / property damage,14.82
v2.0.101,271,30.00,Antitrust sublimit,2.66
v2.0.101,272,30.00,Failure to disclose pollutants,2.66
v2.0.101,273,30.00,FCRA defense only sublimit,11.96
v2.0.101,274,30.00,Pollution liability,7.05
v2.0.101,275,30.00,Technology Coverage Extensio,7.47
v2.0.101,276,30.00,Bodily Inury (Emotional Distress),7.05
v2.0.101,277,30.00,Network security & privacy,4.36
