version,id,limit_retention_option,eo_low,eo_medium,eo_high,factor_gl_premises_operations,factor_gl_products_operations,factor_cyber
v2.0.101,83,36000000,11.3592,11.3592,11.3592,4.1203,4.1203,6.0524
v2.0.101,84,37000000,11.5728,11.5728,11.5728,4.1757,4.1757,6.1209
v2.0.101,85,38000000,11.7846,11.7846,11.7846,4.2312,4.2312,6.1897
v2.0.101,86,39000000,11.9946,11.9946,11.9946,4.2866,4.2866,6.2568
v2.0.101,87,40000000,12.2029,12.2029,12.2029,4.3421,4.3421,6.3225
v2.0.101,88,41000000,12.4095,12.4095,12.4095,4.3975,4.3975,6.3882
v2.0.101,89,42000000,12.6145,12.6145,12.6145,4.4530,4.4530,6.4524
v2.0.101,90,43000000,12.8180,12.8180,12.8180,4.5085,4.5085,6.5151
v2.0.101,91,44000000,13.0199,13.0199,13.0199,4.5639,4.5639,6.5778
v2.0.101,92,45000000,13.2204,13.2204,13.2204,4.6194,4.6194,6.6390
v2.0.101,93,46000000,13.4195,13.4195,13.4195,4.6748,4.6748,6.7003
v2.0.101,94,47000000,13.6172,13.6172,13.6172,4.7303,4.7303,6.7599
v2.0.101,95,48000000,13.8136,13.8136,13.8136,4.7857,4.7857,6.8196
v2.0.101,96,49000000,14.0086,14.0086,14.0086,4.8412,4.8412,6.8779
v2.0.101,97,50000000,14.2024,14.2024,14.2024,4.8967,4.8967,6.9346
